bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
0,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,ewmzr,jewelry,phone0,9759243157894740,us,69.166.231.58,vasstdc27m7nks3
1,668d393e858e8126275433046bbd35c6tywop,aeqok,furniture,phone1,9759243157894740,in,50.201.125.84,jmqlhflrzwuay9c
2,aa5f360084278b35d746fa6af3a7a1a5ra3xe,wa00e,home goods,phone2,9759243157894740,py,112.54.208.157,vasstdc27m7nks3
3,3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,jefix,jewelry,phone4,9759243157894740,in,18.99.175.133,vasstdc27m7nks3
4,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone5,9759243157894740,in,145.138.5.37,vasstdc27m7nks3
5,e8291466de91b0eb4e1515143c7f74dexy2yr,3vi4t,mobile,phone7,9759243157894740,ru,91.107.221.27,vasstdc27m7nks3
6,eef4c687daf977f64fc1d08675c44444raj3s,kjlzx,mobile,phone2,9759243210526320,th,152.235.155.159,j9nl1xmo6fqhcc6
7,ab056855c9ca9d36390feae1fa485883issyg,f5f6k,home goods,phone8,9759243210526320,id,3.210.112.183,hnt6hu93a3z1cpc
8,d600dc03b11e7d782e1e4dae091b084a1h5ch,h7jjx,home goods,phone9,9759243210526320,th,103.64.157.225,vasstdc27m7nks3
9,a58ace8b671a7531c88814bc86b2a34cf0crb,3zpkj,sporting goods,phone4,9759243210526320,za,123.28.123.226,vasstdc27m7nks3
10,a58ace8b671a7531c88814bc86b2a34cf0crb,z6j8b,sporting goods,phone10,9759243210526320,ng,209.80.85.101,adgjz71s3p2oiau
11,fe37b8b29d26021ea9462bcc7c5bf5c2pbya7,jefix,jewelry,phone11,9759243210526320,sd,249.145.124.218,9qikt9049fyukcd
12,990db0dcdb665fb8fda5845b3e5d63082mbqq,jefix,home goods,phone12,9759243263157890,in,200.212.4.79,f07dfiidpjifv9w
13,7e34a26c4c339e875997f4b9239d2b5fscng4,nbx39,mobile,phone13,9759243263157890,in,143.183.225.33,e5i17pk9wygxewv
14,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,wberf,jewelry,phone15,9759243263157890,au,134.243.148.253,vasstdc27m7nks3
15,6c8ffec692e88d81e1b18d47818abb04v6llr,3pt0o,home goods,phone3,9759243263157890,id,220.216.170.202,l2585vww95sbk1c
16,1a9c554b044c77239b63636008d353d4vy9kh,xk5nb,mobile,phone16,9759243263157890,in,130.252.241.92,z0xsd05zh5z8j7l
17,ffbc0fdfbf19a8a9116b68714138f2902cc13,nbx39,mobile,phone17,9759243263157890,in,254.230.31.160,qlbvjmkspxawtn1
18,c4856fd5abe8f6d6dea36ca2fec444faauos8,2hkjh,jewelry,phone18,9759243263157890,us,161.0.93.123,9vr179ujwjgoxt3
19,37bf6f23b628a3e2b5b22ba81beccbef0efoh,qtmwx,jewelry,phone16,9759243263157890,in,67.52.51.193,r1pn2yun70umqqk
20,af9c96944265cf541b3fe734a057821a825l7,jtxiv,office equipment,phone19,9759243263157890,hr,144.100.75.92,vasstdc27m7nks3
21,d174177146370aacbd5ae107b6be78828tx3e,ksqse,home goods,phone2,9759243263157890,in,249.27.204.83,vasstdc27m7nks3
22,6b09f3376045ebad1504abe3b05c9c943aezq,ctfha,jewelry,phone5,9759243263157890,np,20.126.72.67,vasstdc27m7nks3
23,6c8ffec692e88d81e1b18d47818abb04v6llr,2yowp,home goods,phone20,9759243263157890,iq,140.231.164.76,s29w055z2b9jsyt
24,d47110cdd3eeb1ec25659f4285730e0a28ofd,7msk4,jewelry,phone21,9759243315789470,id,65.42.174.33,uzh1u393rqmc1ox
25,668d393e858e8126275433046bbd35c6tywop,38v0a,furniture,phone4,9759243315789470,bd,147.64.206.30,vasstdc27m7nks3
26,c709b6c05ebd88124fe639a70103c8aerho8s,46i7t,home goods,phone23,9759243315789470,tr,214.175.246.198,vasstdc27m7nks3
